typeID,flat_type,modelID
64256,3 ROOM,64256
64257,3 ROOM,64257
64300,4 ROOM,64256
64301,4 ROOM,64257
64327,4 ROOM,64327
64329,5 ROOM,64329
64333,5 ROOM,64333
64339,5 ROOM,64327
64341,EXECUTIVE,64341
64350,3 ROOM,64329
64405,4 ROOM,64405
64411,4 ROOM,64411
64414,4 ROOM,64329
64427,5 ROOM,64257
64430,5 ROOM,64341
64436,5 ROOM,64411
64444,EXECUTIVE,64444
64447,EXECUTIVE,64447
64450,3 ROOM,64405
64515,4 ROOM,64515
64553,2 ROOM,64333
64555,2 ROOM,64257
64558,3 ROOM,64333
64575,3 ROOM,64411
64713,EXECUTIVE,64411
64726,4 ROOM,64726
64841,2 ROOM,64329
64906,3 ROOM,64327
65169,3 ROOM,65169
65469,2 ROOM,65469
66417,1 ROOM,64329
66564,5 ROOM,66564
66695,4 ROOM,64341
66705,5 ROOM,66705
66834,2 ROOM,64411
67155,4 ROOM,67155
69374,EXECUTIVE,69374
72064,5 ROOM,67155
73388,4 ROOM,64333
75450,MULTI-GENERATION,75450
76316,5 ROOM,76316
